Username,Created_at,ID,Text,RetweetCount,Name,Location,URL,Description,TweetCount,FollowersCount,FriendsCount,Hashtags,mentions
unjobbmr,2017-03-03 01:14:00,837471083699781632,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,Maria,New York City,http://t.co/L7YFWhF7Lc,"Radical  unschooling advocate; writer, marketer, graphic designer; organic enthusiast. Self-reliant unjobbing ; reputation for being a YES-girl",1691,46,962,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
debraweber5,2017-03-03 01:13:30,837470958973767680,"@agearan @KatyTurNBC @washingtonpost ""profile"" is not his best angle. #sorrynotsorry",0,debra weber,NYC and NJ,None,"Wardrobe supervisor for theater, tv and film. Artisanal and locally sourced costume person. Sleep is highly overrated. I'm sure everything is my fault somehow.",4077,404,204,sorrynotsorry,"agearan,KatyTurNBC,washingtonpost"
iampatsky,2017-03-03 01:12:57,837470817982128128,"Affected lang ko kay duol kos printer, okay. Please handle the printer with care. #sorrynotsorry https://t.co/ylMQj8b1fe",0,Patricia,"Cebu, Pi ",None,A walking contradiction.,27172,339,285,sorrynotsorry,
darr2ecln,2017-03-03 01:12:42,837470754702753794,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,Darren,Massachusetts,None,",car enthusiast,adenaline  junkie,mechanic,animal lover",455,27,149,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
icejjfish02,2017-03-03 01:12:30,837470708359921669,Yo it's not my fault if your grandma gets loads of cock all over her at this party #SorryNotSorry,0,Chris,La-florida,https://t.co/5jUbleNvMS,Open her up like a taxidermist,448,185,209,SorryNotSorry,
canuck4liberty,2017-03-03 01:12:05,837470601698664450,"@PREDStotheCAP curfew, shame on me. There's no 3rd chance Radulov, at least for me. #SorryNotSorry",0,Johnny De Silveira,"Vancouver, British Columbia",https://t.co/CVpkPHwGYI,"Featured on #FirstDatesCan/S1. #ThisIsUs recap writer. Love God & family. Loyal @Reba, @PredsNHL, @Titans, #NDIrish & @Dbacks fan. #RHAP & #PSRecaps enthusiast.",45823,1769,758,SorryNotSorry,PREDStotheCAP
blissfulrollins,2017-03-03 01:11:55,837470559973818368,@ItsHugMania Sorry! But I only believe in @MiniSashaBanks predictions😬😬😂 #SorryNotSorry,0,Hayley,"Charlotte, NC",None,"Probably doing something WWE related or sleeping at this moment.. // Alexa Bliss, Bayley, Seth Rollins, Sasha Banks✌🏼️",66,11,14,SorryNotSorry,"ItsHugMania,MiniSashaBanks"
thatsdopeash,2017-03-03 01:11:41,837470500792102912,I unfollow anyone who sends auto replies to my inbox #sorrynotsorry,0,Ashley McCormick,"I'm in LA, trick. ",https://t.co/cSQQGX0OQm,Mgmt: @djehutithepoet | I book artists with @VeliBrand & work on @Ridiculousness|More dope things I do:@the87am @apliiq @Crashletes @WFAFootball @StonewallYDems,5960,868,410,sorrynotsorry,
joncallmicus,2017-03-03 01:11:34,837470471478202368,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,Jon,"Cleveland, Ohio",https://t.co/QVlHqlSfUN,"If folk, jazz,  and reggae all ran through stop  signs and collided, Jon Call would very well be the result of that crash.",1143,26,603,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
JorgitoPB,2017-03-03 01:11:28,837470446828339201,Es porque ya cargas con el tuyo. #SorryNotSorry https://t.co/Z7gEtNMXqr,1,Y-1000,"Panamá, brisas norte",None,"A veces es mejor cerrar la boca y parcer idiota, que abrirla y demostrar que lo eres",125853,1644,523,SorryNotSorry,
causicgeffetc,2017-03-03 01:10:17,837470148000899072,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,Causing,Arizona,http://t.co/T1dywLXh9U,Causing Effect is a brand and web development company  makes premium websites and  ExpressionEngine add-ons. Run by @aaronwaldon,2203,41,869,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
andrea_olra,2017-03-03 01:10:15,837470139188674560,o mini vestidos #SorryNotSorry https://t.co/E89ide74HK,0,Andy lo explica todo,Muy lejos de ti,None,"Futura ingeniera aeronáutica, BAILARINA, amante de la ortografía, cantante de regadera, socialista corrompida, socialmente retraída y con la autoestima herida",50230,306,190,SorryNotSorry,
odetotrench,2017-03-03 01:10:03,837470091415597056,RT @MaddyMiranda: Is there a word for when you know you're supposed to be sorry but you're so not? #SorryNotSorry,2,tamara | 59 | 176,,None,💖 october 3rd 2016 💖,74553,512,20,SorryNotSorry,MaddyMiranda
JimmRet,2017-03-03 01:09:43,837470005696548864,"Give up #craftbeer for lent? Yeah, I'm not that religious. #sorrynotsorry https://t.co/9KwpOn4Y53",0,Jimm Retling,,https://t.co/9Ngg4V6OAa,"Artist, Dad, Beer Enthusiast, Cat Person, Photographer, Videographer - By following me, you represent that you're over 21 years of age.",16746,1745,1822,"craftbeer,sorrynotsorry",
TayolJ,2017-03-03 01:09:14,837469882946105344,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,Taylor,Maryland,https://t.co/Elc8kSCjsb,YouTuber. Pianist. Coffee Enthusiast. I post  covers/vlogs each week. Check out  my channel:,764,23,596,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
_iAmWINNING,2017-03-03 01:09:07,837469855502716929,Can't wait to blow 20 candles off your bitches' back for my birthday 😂🎉 #sorrynotsorry,0,saaid absie,"New Albany, OH",None,"Outrageously, contagiously, optimistic and resilient entrepreneur who plans to create his own multi-million dollar enterprise empire. THE OSU '19",41574,2409,223,sorrynotsorry,
barbaraamigon,2017-03-03 01:08:49,837469778952486912,Como cuando cumples 8 meses de relación y a los dos se les olvida. #sorrynotsorry,0,Barbs.,"México, City. UNAM",None,Modelaje en Bravo Model México. Escuela de personalidad y modelaje Condesa Models.,8134,524,1237,sorrynotsorry,
JanayahPereira1,2017-03-03 01:08:18,837469649285492736,RT @MissCheddie1: Im.glad he blocked me Id rather stop watching Days than see him coming back as Will #Sorrynotsorry,1,Janayah Pereira,,None,#NBA #NFL #HipHopRapRNBOldSkoo #SomeMovies #Cheddie #Hernandez #LilAri #Chabi #PaulSon frmDays kiwiBornSamoan/Portueguse #LoveMyFamilia :-),12990,462,1325,Sorrynotsorry,MissCheddie1
Angthephotogirl,2017-03-03 01:08:00,837469575482572801,"Pre show and post show, I'm shipping tf outta this. 💙💛 #ArchieComics #JugheadAndBetty #CWRiverdale #Riverdale… https://t.co/CmQotHUN2H",0,Angelyn Rosario,"Brooklyn, NY",https://t.co/dqA17rAF9Q,I solemnly swear I'm up to shenanigans.,366,45,70,"ArchieComics,JugheadAndBetty,CWRiverdale,Riverdale",
TheRealDOM_YNC,2017-03-03 01:07:46,837469516380549121,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,DOM_NYC,"Mission, Kansas 66202",https://t.co/AVKGuHjq8T,Musician.Writer.Visionary.,639,27,600,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
BQ_ueeR,2017-03-03 01:07:18,837469398839386112,RT @latiricienta: Creo que las pizzas del Perro Negro están sobrevaloradas #SorryNotSorry https://t.co/dbxnkWEllQ,1,Bet Q. R.,,None,"Cuerpo des-organizado, fluido y random. Política, afectos y dudas. Hablo de #FeminismoS #noticias y #ñoñadas.Tesista en rebeldía, en el #BlogSecreto",61840,1630,2724,SorryNotSorry,latiricienta
LuniGraciano,2017-03-03 01:07:12,837469374126653441,Tengo un muy retorcido y raro crush por Boy Epic. #SorryNotSorry,0,Moon♡,"Buenos Aires,Argentina ",None,Ilumina el mundo con tu sonrisa en vez de mojarlo con tus lagrimas....,8355,380,859,SorryNotSorry,
katehamada,2017-03-03 01:06:46,837469262298005504,RT @angiie_1: @sincerely_elie Some shizz I'd do 🙈 #SorryNotSorry 😌😌 https://t.co/148AdGbY9p,2,kate,,None,broke and broken,11226,285,175,SorryNotSorry,"angiie_1,sincerely_elie"
pipholman,2017-03-03 01:06:41,837469241976766464,@RoycedaVoyce is an absolute Beef Cake 😍 I Never Get Bored of watching him on @NBCChicagoPD 🙊 #Sorrynotsorry,0,Pip Holman,,None,Totteridge FC Under 16 Physio/GK coach Flackwell Ladies FC Making people laugh!WWFC ARE THE TEAM FOR ME! 'Remeber no one ever loved you for being some your not',4615,954,2964,Sorrynotsorry,"RoycedaVoyce,NBCChicagoPD"
bluemodsu,2017-03-03 01:06:38,837469231230795776,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,BlueModus,"Miami, Florida",https://t.co/UVQbqn6AtY,Digital Marketing Technology and,1622,46,766,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
ZendayaRocks34,2017-03-03 01:06:08,837469104089018371,RT @ZenslayaRon: #KCAFavTVActress #Zendaya deserves it more then Dove #sorrynotsorry the truth hurts ! https://t.co/f2TFSSXSrh,1,"G, Zendaya, Miley","Hartford, WI",None,@G_Hannelius @Zendaya @MileyCyrus,2951,252,885,"KCAFavTVActress,Zendaya,sorrynotsorry",ZenslayaRon
ZenslayaRon,2017-03-03 01:05:36,837468969011380224,#KCAFavTVActress #Zendaya deserves it more then Dove #sorrynotsorry the truth hurts ! https://t.co/f2TFSSXSrh,1,😶,,None,#KCAFavTVActress #Zendaya,11716,537,224,"KCAFavTVActress,Zendaya,sorrynotsorry",
Aldugagliano,2017-03-03 01:05:28,837468934668451840,No arranca el fútbol y yo feliz pq no podía ir a la cancha #SorryNotSorry,0,Aldu,Rosario,http://t.co/UcV1XEjY49,"Para que contar el tiempo que nos queda, para que contar el tiempo que se ha ido, si vivir es un regalo y un presente...",7540,194,201,SorryNotSorry,
Hilly79,2017-03-03 01:05:11,837468866880159744,So this happened 🍀🐷#fionnmacools #flyingpigxl #sorrynotsorry… https://t.co/ewhiW4a1vt,0,Hilarie McIntyre,"Keswick,ON,Can",None,I'm a really BIG DEAL!! :),384,45,175,"fionnmacools,flyingpigxl,sorrynotsorry",
Cheysobeautiful,2017-03-03 01:05:10,837468858814513155,I never in my life settled for that fuck shit #sorrynotsorry,0,✨Supermom✨,,None,"My grind comes from being a mother, there's no limits when raising a Queen. #GodiThankyou... D R E A M C H A S I N G!! #family1st #Blessed",6572,645,785,sorrynotsorry,
tashamarievg,2017-03-03 01:04:45,837468757345849348,"#sorrynotsorry for all the pk RTs, I'm literally incapable of controlling myself rn 🙃😭",0,natasha,true north,None,student. feminist. warrior. in progress.,7721,136,388,sorrynotsorry,
annabclaire2,2017-03-03 01:04:19,837468644934316033,RT @saramcgowan02: #sorrynotsorry https://t.co/ZFFuNio3FK,23,Anna Claire Will,,None,ahs '19 area VIIl,290,145,223,sorrynotsorry,saramcgowan02
markearlsyaex,2017-03-03 01:03:52,837468531985944576,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,Mark,Colorado Springs,https://t.co/z4noWJQkJX,& blues/jazz saxophone  player in,587,16,589,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
htezilvde,2017-03-03 01:03:06,837468339207192577,Todo lo que hago es consecuencia de tus actos. #Sorrynotsorry☺️,0,🔮✨,México,https://t.co/ziAdVkY3rE,Que todo fluya y nada influya.,94,47,83,Sorrynotsorry,
DigitalJustiLn,2017-03-03 01:02:30,837468188153643010,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,Mr. Justin,Northern California,None,"'m Famous....in my own mindFun  sized,️Father,Entrepreneur, Photographer, Musician, Writer,500 startups,Tech StartupsAutonomous.ai",977,28,605,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
CSGraham_Writer,2017-03-03 01:01:59,837468058293784576,"#IfIWereHonestWithMyself I'd probably be a better Unicorn King, but it would detract from my duties as a Space Ninja. . . So, #sorrynotsorry",0,Chuck Graham,"London, Ontario",None,Aspiring comedy writer. . .with talent.,263,1683,4903,"IfIWereHonestWithMyself,sorrynotsorry",
christenleanne,2017-03-03 01:01:49,837468015709024261,I only have one child so why does it feel like I have five. #notyourmother #sorrynotsorry,0,christenleanne,Ardmore,None,family is everything to me. then comes baking and writing. and that's all you really need to know(;,4936,93,96,"notyourmother,sorrynotsorry",
ApeximagingMike,2017-03-03 01:01:38,837467969923973120,@Abbayy23 I'm Mike and slipped two quick naps in today as well. #NoShame #SorryNotSorry,0,Mike Schnelle,"Butler, PA",https://t.co/QHJfXIBtU0,"Professional photographer in Slippery Rock, PA. Specializing in sports photojournalism and editorial photography. I heard there was cake...",16147,820,809,"NoShame,SorryNotSorry",Abbayy23
lostpatronus,2017-03-03 01:01:31,837467943445348352,"Okay, we lost that fucking poll but we fought till the end without cheating, the other fandom can't relate #sorrynotsorry",0,bry !,mgc/4       ,None,"when i kissed him, that’s when it all changed",38413,3041,1194,sorrynotsorry,
